
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2024-10-25 21:25:24 /assets/vendor/remixicon/remixicon.css .............................................. ~ 15.22ms
  2024-10-25 21:25:24 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.63ms
  2024-10-25 21:25:24 /assets/css/style.css ................................................................ ~ 3.86ms
  2024-10-25 21:25:24 /assets/img/au_logo.jpg .............................................................. ~ 0.55ms
  2024-10-25 21:25:24 /assets/img/profile-img.jpg .......................................................... ~ 2.55ms
  2024-10-25 21:25:24 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 4.35ms
  2024-10-25 21:25:24 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 6.08ms
  2024-10-25 21:25:24 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 8.05ms
  2024-10-25 21:25:24 /assets/vendor/echarts/echarts.min.js ............................................... ~ 10.94ms
  2024-10-25 21:25:24 /assets/vendor/quill/quill.js ........................................................ ~ 0.43ms
  2024-10-25 21:25:24 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 0.44ms
  2024-10-25 21:25:24 /assets/vendor/php-email-form/validate.js ............................................ ~ 2.89ms
  2024-10-25 21:25:24 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 4.82ms
  2024-10-25 21:25:24 /assets/js/main.js ................................................................... ~ 2.35ms
  2024-10-25 21:25:25 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.44ms
  2024-10-25 21:26:12 /buy-admission/2/edit .................................................................... ~ 1s
  2024-10-25 21:26:12 /buy-admission/2/edit ................................................................... ~ 32s
  2024-10-25 21:26:44 ...................................................................................... ~ 1m 31s
  2024-10-25 21:28:15 /buy-admission/2/edit .............................................................. ~ 499.82ms
  2024-10-25 21:28:15 /assets/vendor/bootstrap/css/bootstrap.min.css ........................................... ~ 1s
  2024-10-25 21:28:16 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 5.38ms
  2024-10-25 21:28:16 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 7.68ms
  2024-10-25 21:28:16 /assets/vendor/quill/quill.snow.css .................................................. ~ 9.58ms
  2024-10-25 21:28:16 /assets/vendor/quill/quill.bubble.css ............................................... ~ 12.27ms
  2024-10-25 21:28:16 /assets/vendor/remixicon/remixicon.css .............................................. ~ 16.31ms
  2024-10-25 21:28:16 /assets/vendor/simple-datatables/style.css .......................................... ~ 97.41ms
  2024-10-25 21:28:16 /assets/css/style.css ............................................................... ~ 99.33ms
  2024-10-25 21:28:16 /assets/img/au_logo.jpg .............................................................. ~ 0.45ms
  2024-10-25 21:28:16 /assets/img/profile-img.jpg .......................................................... ~ 0.45ms
  2024-10-25 21:28:16 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 0.38ms
  2024-10-25 21:28:16 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 0.39ms
  2024-10-25 21:28:16 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.81ms
  2024-10-25 21:28:16 /assets/vendor/echarts/echarts.min.js ................................................ ~ 3.64ms
  2024-10-25 21:28:16 /assets/vendor/quill/quill.js ........................................................ ~ 2.38ms
  2024-10-25 21:28:16 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 4.00ms
  2024-10-25 21:28:16 /assets/vendor/php-email-form/validate.js ............................................ ~ 3.53ms
  2024-10-25 21:28:16 /assets/js/main.js ................................................................... ~ 5.23ms
  2024-10-25 21:28:16 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 8.94ms
  2024-10-25 21:28:16 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.35ms
  2024-10-25 21:28:16 /assets/img/logo.png ................................................................. ~ 0.35ms
  2024-10-25 21:29:42 /buy-admission/2/edit .............................................................. ~ 513.07ms
  2024-10-25 21:29:42 /assets/vendor/bootstrap/css/bootstrap.min.css ..................................... ~ 517.77ms
  2024-10-25 21:29:43 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 4.19ms
  2024-10-25 21:29:43 /assets/vendor/quill/quill.bubble.css ............................................... ~ 10.51ms
  2024-10-25 21:29:43 /assets/vendor/quill/quill.snow.css ................................................. ~ 14.28ms
  2024-10-25 21:29:43 /assets/vendor/boxicons/css/boxicons.min.css ........................................ ~ 17.55ms
  2024-10-25 21:29:43 /assets/vendor/remixicon/remixicon.css .............................................. ~ 20.55ms
  2024-10-25 21:29:43 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.94ms
